"","species_id","id","genus","species","mean_mass","mean_sd","contains_estimates"
"117",777,"sp3590","Falco","femoralis",343.5,25.9248401765936,TRUE
"118",780,"sp3540","Falco","rusticolus",1461,53.661954230396,TRUE
"119",781,"sp3560","Falco","peregrinus",783.333333333333,45.6779111876575,TRUE
"120",782,"sp3550","Falco","mexicanus",734,50.95,FALSE
"121",783,"sp3824","Myiopsitta","monachus",120,15.2996816055809,TRUE
"122",786,"sp51830","Aratinga","nenday",128,15.8125630115495,TRUE
"123",800,"sp52021","Brotogeris","chiriri",61.6,10.8441204055017,TRUE
"124",815,"sp3822","Melopsittacus","undulatus",29,2,FALSE
"125",872,"sp4720","Camptostoma","imberbe",7.4,0.8,FALSE
"126",882,"sp4550","Myiarchus","tuberculifer",18.2,5.51818588553676,TRUE
"127",883,"sp4540","Myiarchus","cinerascens",28.2,7.13967255988434,TRUE
"128",885,"sp4520","Myiarchus","crinitus",32.1,7.66510984894384,TRUE
"129",886,"sp4530","Myiarchus","tyrannulus",36.25,5.20458839527813,TRUE
"130",889,"sp4490","Pitangus","sulphuratus",63.3333333333333,8.74975338495563,TRUE
"131",893,"sp4510","Myiodynastes","luteiventris",46.9,9.39543286688859,TRUE
"132",897,"sp4460","Tyrannus","melancholicus",37.4,2.9,FALSE
"133",898,"sp4461","Tyrannus","couchii",39,8.51567543657951,TRUE
"134",900,"sp4480","Tyrannus","vociferans",45.6,3.4,FALSE
"135",901,"sp4451","Tyrannus","crassirostris",55.9,10.306583429466,TRUE
"136",902,"sp4470","Tyrannus","verticalis",39.6,2.8,FALSE
"137",904,"sp4440","Tyrannus","tyrannus",39.925,2.75,FALSE
"138",905,"sp4450","Tyrannus","dominicensis",46.5,5,FALSE
"139",907,"sp4430","Tyrannus","forficatus",39.3,8.550737487623,TRUE
"140",912,"sp4590","Contopus","cooperi",32.1,2.3,FALSE
"141",913,"sp4600","Contopus","pertinax",27.2,3.3,FALSE
"142",914,"sp4620","Contopus","sordidulus",13.1,0.8,FALSE
"143",915,"sp4610","Contopus","virens",13.9,0.7,FALSE
"144",918,"sp4630","Empidonax","flaviventris",11.8,1,FALSE
"145",919,"sp4650","Empidonax","virescens",12.6,0.7,FALSE
"146",920,"sp4661","Empidonax","alnorum",12.6,1.1,FALSE
"147",921,"sp4660","Empidonax","traillii",13.4,1.45,FALSE
"148",924,"sp4670","Empidonax","minimus",10,0.8,FALSE
"149",925,"sp4680","Empidonax","hammondii",10.45,0.75,FALSE
"150",926,"sp4691","Empidonax","wrightii",12.3,0.7,FALSE
"151",927,"sp4690","Empidonax","oberholseri",10.4,0.6,FALSE
"152",930,"sp4641","Empidonax","difficilis",10.7,0.9,FALSE
"153",931,"sp4640","Empidonax","occidentalis",11.6,1.2,FALSE
"154",936,"sp4580","Sayornis","nigricans",18.65,1,FALSE
"155",937,"sp4560","Sayornis","phoebe",19.7,1.4,FALSE
"156",938,"sp4570","Sayornis","saya",20.9,2.5,FALSE
"157",939,"sp4710","Pyrocephalus","rubinus",14.4,4.84244627980425,TRUE
"158",941,"sp6220","Lanius","ludovicianus",51.75,1.9,FALSE
"159",942,"sp6210","Lanius","borealis",63.45,4.3,FALSE
"160",950,"sp6300","Vireo","atricapilla",9,0.4,FALSE
"161",952,"sp6310","Vireo","griseus",11.4,4.17916876448089,TRUE
"162",957,"sp6330","Vireo","bellii",8.5,0.6,FALSE
"163",958,"sp6340","Vireo","vicinior",12.8,1.1,FALSE
"164",959,"sp6320","Vireo","huttoni",11.3,0.8,FALSE
"165",960,"sp6280","Vireo","flavifrons",18,1.6,FALSE
"166",961,"sp6291","Vireo","cassinii",14.7,1.4,FALSE
"167",962,"sp6290","Vireo","solitarius",15.3,5.02438417082364,TRUE
"168",964,"sp6292","Vireo","plumbeus",16.4,1.5,FALSE
"169",966,"sp6260","Vireo","philadelphicus",11.5,0.7,FALSE
"170",967,"sp6270","Vireo","gilvus",12.7,1.2,FALSE
"171",969,"sp6240","Vireo","olivaceus",16.1666666666667,3.74454519021678,TRUE
"172",971,"sp6230","Vireo","altiloquus",19.0142857142857,1.98805399844376,TRUE
"173",973,"sp4840","Perisoreus","canadensis",71.7,2.6,FALSE
"174",982,"sp4830","Cyanocorax","yncas",78.5,5.6,FALSE
"175",986,"sp4920","Gymnorhinus","cyanocephalus",105,0.7,FALSE
"176",987,"sp4780","Cyanocitta","stelleri",128,15.8125630115495,TRUE
"177",988,"sp4770","Cyanocitta","cristata",88,5.8,FALSE
"178",989,"sp4790","Aphelocoma","coerulescens",77.15,4.85,FALSE
"179",991,"sp4812","Aphelocoma","californica",86.2125,12.8918517145165,TRUE
"180",992,"sp4813","Aphelocoma","californica",86.2125,12.8918517145165,TRUE
"181",995,"sp4820","Aphelocoma","ultramarina",114.5,10.6875314430856,TRUE
"182",997,"sp4910","Nucifraga","columbiana",130,0.95,FALSE
"183",998,"sp4750","Pica","hudsonia",177.5,12.3,FALSE
"184",999,"sp4760","Pica","nuttalli",159,8.75,FALSE
"185",1001,"sp4880","Corvus","brachyrhynchos",452.75,31.4349678413057,TRUE
"186",1002,"sp4890","Corvus","caurinus",391.5,27.8371773283609,TRUE
"187",1005,"sp4900","Corvus","ossifragus",285,21.65,FALSE
"188",1008,"sp4870","Corvus","cryptoleucus",534,43.15,FALSE
"189",1009,"sp4860","Corvus","corax",941,99.45,FALSE
"190",1011,"sp4730","Alauda","arvensis",37.475,6.08986544207214,TRUE
"191",1012,"sp4740","Eremophila","alpestris",33.5333333333333,7.83584511182523,TRUE
"192",1013,"sp6110","Progne","subis",53.8,4.3,FALSE
"193",1019,"sp6140","Tachycineta","bicolor",21.2,6.08380176949839,TRUE
"194",1021,"sp6150","Tachycineta","thalassina",14.15,4.79039916954093,TRUE
"195",1025,"sp6170","Stelgidopteryx","serripennis",15.7,2.83196359521987,TRUE
"196",1027,"sp6160","Riparia","riparia",12.7333333333333,2.08507883510036,TRUE
"197",1028,"sp6120","Petrochelidon","pyrrhonota",21.6,2,FALSE
"198",1029,"sp6121","Petrochelidon","fulva",19.2666666666667,4.38514642282184,TRUE
"199",1031,"sp6130","Hirundo","rustica",17.9833333333333,4.07403252959074,TRUE
"200",1033,"sp7360","Poecile","carolinensis",10,0.45,FALSE
"201",1034,"sp7350","Poecile","atricapillus",10.8,0.8,FALSE
"202",1035,"sp7380","Poecile","gambeli",11.2,0.966666666666667,FALSE
"203",1036,"sp7370","Poecile","sclateri",10.1,0.9,FALSE
"204",1037,"sp7410","Poecile","rufescens",9.4,0.55,FALSE
"205",1038,"sp7400","Poecile","hudsonicus",9.8,0.8,FALSE
"206",1044,"sp7340","Baeolophus","wollweberi",10.4,0.4,FALSE
"207",1045,"sp7330","Baeolophus","inornatus",15.8875,1.075,FALSE
"208",1046,"sp7331","Baeolophus","ridgwayi",15.8666666666667,2.20812805694121,TRUE
"209",1048,"sp7310","Baeolophus","bicolor",21.6,6.14902338251006,TRUE
"210",1049,"sp7320","Baeolophus","atricristatus",17.5,2.7,FALSE
"211",1051,"sp7460","Auriparus","flaviceps",6.8,0.7,FALSE
"212",1052,"sp7430","Psaltriparus","minimus",5.3,0.4,FALSE
"213",1053,"sp7280","Sitta","canadensis",9.8,0.7,FALSE
"214",1054,"sp7270","Sitta","carolinensis",21,6.05092734020993,TRUE
"215",1055,"sp7300","Sitta","pygmaea",10.6,3.9836870341187,TRUE
"216",1056,"sp7290","Sitta","pusilla",10.2,3.88225679182892,TRUE
"217",1057,"sp7260","Certhia","americana",8.1,0.5,FALSE
"218",1058,"sp7150","Salpinctes","obsoletus",16.4,4.30379907352341,TRUE
"219",1060,"sp7170","Catherpes","mexicanus",12,3.47761825265054,TRUE
"220",1063,"sp7210","Troglodytes","aedon",10.86,0.76,FALSE
"221",1067,"sp7221","Troglodytes","hiemalis",9.8,1.77838608178554,TRUE
"222",1068,"sp7222","Troglodytes","hiemalis",9.8,1.77838608178554,TRUE
"223",1070,"sp7240","Cistothorus","platensis",9.175,2.8695940298243,TRUE
"224",1071,"sp7250","Cistothorus","palustris",10.84,1.55003141125703,TRUE
"225",1072,"sp7180","Thryothorus","ludovicianus",19.0333333333333,3,FALSE
"226",1073,"sp7190","Thryomanes","bewickii",9.9,0.8,FALSE
"227",1081,"sp7130","Campylorhynchus","brunneicapillus",38.9,8.50395596144157,TRUE
"228",1085,"sp16600","Thryophilus","sinaloa",15.1,1.4,FALSE
"229",1092,"sp7510","Polioptila","caerulea",5.8,0.3,FALSE
"230",1093,"sp7530","Polioptila","californica",5.83333333333333,0.995630001074207,TRUE
"231",1094,"sp7520","Polioptila","melanura",5.2,2.25806564262564,TRUE
"232",1102,"sp7480","Regulus","satrapa",6.2,0.1,FALSE
"233",1103,"sp7490","Regulus","calendula",6.2,0.3,FALSE
"234",1110,"sp7470","Phylloscopus","borealis",10.9,2.39184351705935,TRUE
"235",1113,"sp7420","Chamaea","fasciata",14.75,1.1,FALSE
"236",1124,"sp7640","Cyanecula","svecica",17.3,3.40857008527488,TRUE
"237",1132,"sp7650","Oenanthe","oenanthe",25.6333333333333,3.82246508269198,TRUE
"238",1133,"sp7660","Sialia","sialis",27.5,3.3,FALSE
"239",1134,"sp7670","Sialia","mexicana",26.45,1.2,FALSE
"240",1135,"sp7680","Sialia","currucoides",29.6,3,FALSE
"241",1136,"sp7540","Myadestes","townsendi",33.2,2,FALSE
"242",1144,"sp7560","Catharus","fuscescens",31.9,2.5,FALSE
"243",1145,"sp7570","Catharus","minimus",31.6,3.6,FALSE
"244",1146,"sp7571","Catharus","bicknelli",27.8,2.5,FALSE
"245",1147,"sp7580","Catharus","ustulatus",30.3,1.8,FALSE
"246",1148,"sp7590","Catharus","guttatus",30.1,3.1,FALSE
"247",1149,"sp7550","Hylocichla","mustelina",50.15,3.85,FALSE
"248",1162,"sp7610","Turdus","migratorius",78.5,7.4,FALSE
"249",1164,"sp7630","Ixoreus","naevius",77.55,5.6,FALSE
"250",1169,"sp7040","Dumetella","carolinensis",35.3,2.5,FALSE
"251",1170,"sp7070","Toxostoma","curvirostre",80.6333333333333,5.16666666666667,FALSE
"252",1172,"sp7050","Toxostoma","rufum",68.8,11.4872168062975,TRUE
"253",1173,"sp7060","Toxostoma","longirostre",67.6,5.5,FALSE
"254",1175,"sp7080","Toxostoma","bendirei",62.2,5.1,FALSE
"255",1177,"sp7100","Toxostoma","redivivum",84.4,3.9,FALSE
"256",1178,"sp7110","Toxostoma","lecontei",61.9,10.8716756210851,TRUE
"257",1179,"sp7120","Toxostoma","crissale",62.7,4.3,FALSE
"258",1180,"sp7020","Oreoscoptes","montanus",44.2,9.10432357654927,TRUE
"259",1181,"sp7031","Mimus","gundlachii",66.8,8.8,FALSE
"260",1184,"sp7030","Mimus","polyglottos",48.5,9.56376166101106,TRUE
"261",1185,"sp4930","Sturnus","vulgaris",78.0333333333333,6.63000234319099,TRUE
"262",1186,"sp4932","Acridotheres","tristis",116.6,9.82666460346627,TRUE
"263",1187,"sp6180","Bombycilla","garrulus",54.45,7.58608019865458,TRUE
"264",1188,"sp6190","Bombycilla","cedrorum",31.6,2.25,FALSE
"265",1191,"sp6200","Phainopepla","nitens",22.1,6.22959021876921,TRUE
"266",1192,"sp6510","Peucedramus","taeniatus",11,0.6,FALSE
"267",1198,"sp6882","Passer","domesticus",26.5666666666667,3.45745393075323,TRUE
"268",1199,"sp6883","Passer","montanus",21.4,3.60893666360926,TRUE
"269",1200,"sp6960","Motacilla","tschutschensis",14.4,4.84135076597519,TRUE
"270",1203,"sp6940","Motacilla","alba",24.04,4.79008630388511,TRUE
"271",1207,"sp6990","Anthus","cervinus",20.9,6.03442296574197,TRUE
"272",1208,"sp6970","Anthus","rubescens",20.7,3.56243743091767,TRUE
"273",1209,"sp7000","Anthus","spragueii",25.5,2.2,FALSE
"274",1219,"sp5140","Coccothraustes","vespertinus",57.35,3.575,FALSE
"275",1222,"sp5150","Pinicola","enucleator",56.4,3.2,FALSE
"276",1225,"sp5240","Leucosticte","tephrocotis",39.4666666666667,3,FALSE
"277",1226,"sp5250","Leucosticte","atrata",25.25,2,FALSE
"278",1228,"sp5190","Haemorhous","mexicanus",21.4,1.3,FALSE
"279",1229,"sp5170","Haemorhous","purpureus",23.3,6.4188260654185,TRUE
"280",1230,"sp5180","Haemorhous","cassinii",26.5,2.4,FALSE
"281",1234,"sp5280","Acanthis","flammea",13,4.54497853839017,TRUE
"282",1235,"sp5270","Acanthis","hornemanni",15.45,5.02450831960172,TRUE
"283",1237,"sp5210","Loxia","curvirostra",38.3333333333333,6.9329284260126,TRUE
"284",1240,"sp5220","Loxia","leucoptera",28.975,4.57236101445017,TRUE
"285",1242,"sp5261","Carduelis","carduelis",16,5.16145951502136,TRUE
"286",1244,"sp5330","Spinus","pinus",12.7,4.47866570234367,TRUE
"287",1247,"sp5300","Spinus","psaltria",8.8,3.49852016229379,TRUE
"288",1248,"sp5310","Spinus","lawrencei",10.95,0.9,FALSE
"289",1249,"sp5290","Spinus","tristis",12.8,0.8,FALSE
"290",1250,"sp5360","Calcarius","lapponicus",27.85,2.2,FALSE
"291",1251,"sp5380","Calcarius","ornatus",20.3,5.93443288337804,TRUE
"292",1252,"sp5370","Calcarius","pictus",26.7,6.92404106118804,TRUE
"293",1253,"sp5390","Rhynchophanes","mccownii",25.7,6.77987889299985,TRUE
"294",1254,"sp5340","Plectrophenax","nivalis",42.2,5.5,FALSE
"295",1269,"sp5860","Arremonops","rufivirgatus",22.45,2.7,FALSE
"296",1274,"sp5900","Pipilo","chlorurus",29.4,3.3,FALSE
"297",1275,"sp5880","Pipilo","maculatus",39.3,2.63333333333333,FALSE
"298",1276,"sp5870","Pipilo","erythrophthalmus",40.05,2.35,FALSE
"299",1279,"sp5800","Aimophila","ruficeps",18.7,1.4,FALSE
"300",1284,"sp5910","Melozone","fusca",44.4,3.2,FALSE
"301",1286,"sp5911","Melozone","crissalis",52.85,10.006555136256,TRUE
"302",1287,"sp5920","Melozone","aberti",45.95,3.1,FALSE
"303",1289,"sp5790","Peucaea","carpalis",15.3,1,FALSE
"304",1293,"sp5760","Peucaea","botterii",19.9,1.9,FALSE
"305",1294,"sp5780","Peucaea","cassinii",18.9,1.5,FALSE
"306",1295,"sp5750","Peucaea","aestivalis",19.6,3.7,FALSE
"307",1297,"sp5590","Spizelloides","arborea",17.85,1.9,FALSE
"308",1298,"sp5600","Spizella","passerina",12.2,0.8,FALSE
"309",1299,"sp5610","Spizella","pallida",11.2,1.1,FALSE
"310",1300,"sp5620","Spizella","breweri",10.9,0.7,FALSE
"311",1301,"sp5630","Spizella","pusilla",12.5,0.8,FALSE
"312",1303,"sp5650","Spizella","atrogularis",11.3,1.1,FALSE
"313",1304,"sp5400","Pooecetes","gramineus",25.7,6.78045350641531,TRUE
"314",1305,"sp5520","Chondestes","grammacus",29,1.9,FALSE
"315",1307,"sp5730","Amphispiza","bilineata",13.5,1.2,FALSE
"316",1308,"sp5738","Amphispiza","belli",17.48,1.19289582242943,TRUE
"317",1309,"sp5739","Amphispiza","belli",15,4.96447911214716,TRUE
"318",1311,"sp6050","Calamospiza","melanocorys",37.6,3.7,FALSE
"319",1312,"sp5420","Passerculus","sandwichensis",20.1625,2.02818135370465,TRUE
"320",1313,"sp5460","Ammodramus","savannarum",17.625,3.73060555355268,TRUE
"321",1314,"sp5450","Centronyx","bairdii",18.0666666666667,4.19752265405005,TRUE
"322",1315,"sp5470","Centronyx","henslowii",12.8,4.50087853872724,TRUE
"323",1316,"sp5480","Ammospiza","leconteii",13,1.2,FALSE
"324",1317,"sp5500","Ammospiza","maritima",22.225,1.4,FALSE
"325",1318,"sp5491","Ammospiza","nelsoni",15.1666666666667,3.61738035199134,TRUE
"326",1319,"sp5490","Ammospiza","caudacuta",19.25,5.74977366036768,TRUE
"327",1321,"sp5850","Passerella","iliaca",33.34,6.62353795971477,TRUE
"328",1322,"sp5810","Melospiza","melodia",22.775,2.65674858633735,TRUE
"329",1323,"sp5830","Melospiza","lincolnii",16.6,1.2,FALSE
"330",1324,"sp5840","Melospiza","georgiana",16.1,1.2,FALSE
"331",1326,"sp5580","Zonotrichia","albicollis",24.4,1.7,FALSE
"332",1327,"sp5530","Zonotrichia","querula",35.55,2.1,FALSE
"333",1328,"sp5540","Zonotrichia","leucophrys",28.12,1.72,FALSE
"334",1329,"sp5570","Zonotrichia","atricapilla",32,1.55,FALSE
"335",1335,"sp5677","Junco","hyemalis",19.5666666666667,2.21460375017169,TRUE
"336",1337,"sp5700","Junco","phaeonotus",20.4,1.1,FALSE
"337",1341,"sp6830","Icteria","virens",24.9,1,FALSE
"338",1342,"sp4970","Xanthocephalus","xanthocephalus",64.5,11.0221504136757,TRUE
"339",1343,"sp4940","Dolichonyx","oryzivorus",31.55,2.1,FALSE
"340",1344,"sp5010","Sturnella","magna",92.6833333333333,12.886673811325,TRUE
"341",1345,"sp5011","Sturnella","neglecta",100.7,13.9618313399831,TRUE
"342",1354,"sp5060","Icterus","spurius",19.45,5.78930604924082,TRUE
"343",1355,"sp5050","Icterus","cucullatus",24.3,2,FALSE
"344",1359,"sp5080","Icterus","bullockii",37.9,8.38586045220636,TRUE
"345",1361,"sp5032","Icterus","pectoralis",46.5,9.35287732027459,TRUE
"346",1362,"sp5031","Icterus","gularis",55.3,10.2416781083199,TRUE
"347",1363,"sp5030","Icterus","graduacauda",42.2,4.9,FALSE
"348",1364,"sp5070","Icterus","galbula",32.85,1.8,FALSE
"349",1368,"sp5040","Icterus","parisorum",36.5,5.20385770415917,TRUE
"350",1369,"sp4980","Agelaius","phoeniceus",52.4,2.95,FALSE
"351",1370,"sp5000","Agelaius","tricolor",58.7,6.61824047598826,TRUE
"352",1372,"sp4961","Molothrus","bonariensis",42.2,4.1,FALSE
"353",1373,"sp4960","Molothrus","aeneus",62.9,4.65,FALSE
"354",1374,"sp4950","Molothrus","ater",40.6833333333333,3.26666666666667,FALSE
"355",1378,"sp5090","Euphagus","carolinus",59.75,3,FALSE
"356",1379,"sp5100","Euphagus","cyanocephalus",62.65,4.05,FALSE
"357",1380,"sp5110","Quiscalus","quiscula",106.1,7.2,FALSE
"358",1381,"sp5130","Quiscalus","major",158.5,11.6,FALSE
"359",1382,"sp5120","Quiscalus","mexicanus",169,13.8,FALSE
"360",1384,"sp6740","Seiurus","aurocapilla",18.8,1.2,FALSE
"361",1385,"sp6390","Helmitheros","vermivorum",14.2,1.45,FALSE
"362",1386,"sp6760","Parkesia","motacilla",19.9,5.86682614871235,TRUE
"363",1387,"sp6750","Parkesia","noveboracensis",16.3,1.1,FALSE
"364",1388,"sp6420","Vermivora","chrysoptera",8.75,0.65,FALSE
"365",1389,"sp6410","Vermivora","pinus",8.9,3.53255189436263,TRUE
"366",1392,"sp6360","Mniotilta","varia",10.9,4.05809633040951,TRUE
"367",1393,"sp6370","Protonotaria","citrea",14.3,0.1,FALSE
"368",1394,"sp6380","Limnothlypis","swainsonii",18.9,1.7,FALSE
"369",1396,"sp6470","Oreothlypis","peregrina",8.9,1.1,FALSE
