species_id,id,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,mass,sd,sex,subspecies,location,name_mismatch,name_notes,not_in_dunning,close_genus,close_species,close_subspecies,close_species_notes
108,sp3089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,1200,NA,f,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
108,sp3089,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,Centrocercus,minimus,2100,NA,m,NA,"Colorado, USA",NA,NA,NA,NA,NA,NA,NA
109,sp2980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,Falcipennis,canadensis,456,27.5,f,NA,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
109,sp2980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,Falcipennis,canadensis,492,31.5,m,NA,"Washington, USA",NA,NA,NA,NA,NA,NA,NA
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,473,27.2,f,alba,"Yukon Territory, Canada",NA,NA,NA,NA,NA,NA,NA
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,525,35.9,f,alascensis,"Alaska, USA",NA,NA,NA,NA,NA,NA,NA
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,547,42.4,m,alba,"Yukon Territory, Canada",NA,NA,NA,NA,NA,NA,NA
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,586,NA,f,scotica,NA,NA,NA,NA,NA,NA,NA,NA
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,613,38.6,m,alascensis,"Alaska, USA",NA,NA,NA,NA,NA,NA,NA
110,sp3010,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,Lagopus,lagopus,680,NA,m,scotica,NA,NA,NA,NA,NA,NA,NA,NA
111,sp3020,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Galliformes,Phasianidae,Lagopus,muta,521,37.9,m,NA,"Northwest Terr., Canada",NA,NA,NA,NA,NA,NA,NA
111,sp3020,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Galliformes,Phasianidae,Lagopus,muta,550,49.9,f,NA,"Northwest Terr., Canada",NA,NA,NA,NA,NA,NA,NA
112,sp3040,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Galliformes,Phasianidae,Lagopus,leucura,351,NA,f,NA,"Alaska, USA",NA,NA,NA,NA,NA,NA,NA
