"species_id","id","english_common_name","french_common_name","spanish_common_name","sporder","family","genus","species"
1102,"sp7480","Golden-crowned Kinglet","Roitelet à couronne dorée","Regulus satrapa","Passeriformes","Regulidae","Regulus","satrapa"
1103,"sp7490","Ruby-crowned Kinglet","Roitelet à couronne rubis","Regulus calendula","Passeriformes","Regulidae","Regulus","calendula"
1134,"sp7670","Western Bluebird","Merlebleu de l'Ouest","Sialia mexicana","Passeriformes","Turdidae","Sialia","mexicana"
1136,"sp7540","Townsend's Solitaire","Solitaire de Townsend","Myadestes townsendi","Passeriformes","Turdidae","Myadestes","townsendi"
1144,"sp7560","Veery","Grive fauve","Catharus fuscescens","Passeriformes","Turdidae","Catharus","fuscescens"
1164,"sp7630","Varied Thrush","Grive à collier","Ixoreus naevius","Passeriformes","Turdidae","Ixoreus","naevius"
1219,"sp5140","Evening Grosbeak","Gros-bec errant","Coccothraustes vespertinus","Passeriformes","Fringillidae","Coccothraustes","vespertinus"
1222,"sp5150","Pine Grosbeak","Durbec des sapins","Pinicola enucleator","Passeriformes","Fringillidae","Pinicola","enucleator"
1229,"sp5170","Purple Finch","Roselin pourpré","Haemorhous purpureus","Passeriformes","Fringillidae","Haemorhous","purpureus"
1240,"sp5220","White-winged Crossbill","Bec-croisé bifascié","Loxia leucoptera","Passeriformes","Fringillidae","Loxia","leucoptera"
1321,"sp5850","Fox Sparrow","Bruant fauve","Passerella iliaca","Passeriformes","Passerellidae","Passerella","iliaca"
1323,"sp5830","Lincoln's Sparrow","Bruant de Lincoln","Melospiza lincolnii","Passeriformes","Passerellidae","Melospiza","lincolnii"
1326,"sp5580","White-throated Sparrow","Bruant à gorge blanche","Zonotrichia albicollis","Passeriformes","Passerellidae","Zonotrichia","albicollis"
1328,"sp5540","White-crowned Sparrow","Bruant à couronne blanche","Zonotrichia leucophrys","Passeriformes","Passerellidae","Zonotrichia","leucophrys"
1335,"sp5677","(unid. race) Dark-eyed Junco","Junco ardoisé (groupe non identifié)","Junco hyemalis","Passeriformes","Passerellidae","Junco","hyemalis"
1359,"sp5080","Bullock's Oriole","Oriole de Bullock","Icterus bullockii","Passeriformes","Icteridae","Icterus","bullockii"
1387,"sp6750","Northern Waterthrush","Paruline des ruisseaux","Parkesia noveboracensis","Passeriformes","Parulidae","Parkesia","noveboracensis"
1396,"sp6470","Tennessee Warbler","Paruline obscure","Oreothlypis peregrina","Passeriformes","Parulidae","Oreothlypis","peregrina"
1404,"sp6800","MacGillivray's Warbler","Paruline des buissons","Geothlypis tolmiei","Passeriformes","Parulidae","Geothlypis","tolmiei"
1413,"sp6870","American Redstart","Paruline flamboyante","Setophaga ruticilla","Passeriformes","Parulidae","Setophaga","ruticilla"
